-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
-13,-27,-16,-3,0,1
